,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
254,2020,2,Neuquén,2180,3270,61171,6103,6625,5296,46432,0.0,126172
255,2020,2,Río Negro,1140,4660,70817,3335,7498,3246,26953,17057.0,129486
256,2020,2,Salta,1290,5140,41801,64463,16989,7741,39594,6531.0,177762
257,2020,2,San Juan,480,1940,59113,9170,4908,400,127,443.0,69777
258,2020,2,San Luis,1050,0,11439,3585,1934,60889,8,35992.0,113952
259,2020,2,Santa Cruz,660,0,26938,4166,6541,5460,119,4930.0,38869
260,2020,2,Santa Fe,5680,2061,213054,198772,96575,57236,189473,20193.0,777932
261,2020,2,Santiago Del Estero,1330,1779,32557,57709,5178,2470,3328,4516.0,105447
262,2020,2,Tierra Del Fuego,110,0,22325,5186,3034,3910,796,7446.0,39189
263,2020,2,Tucumán,520,970,49028,54537,34184,2246,74377,2635.0,217156
264,2020,1,Buenos Aires,38215,36802,1122034,236421,247977,20578,1802583,28935.0,3718747
265,2020,1,Capital Federal,2640,3120,169651,102254,89665,85899,906009,0.0,1354054
266,2020,1,Catamarca,630,0,8838,7543,9558,4080,10299,2151.0,38860
267,2020,1,Chaco,3080,9280,23291,19976,29851,10416,28539,6917.0,120226
268,2020,1,Chubut,1580,1090,69586,12957,7756,124,614,45.0,96920
269,2020,1,Córdoba,1420,5128,217229,120188,95827,65733,296875,9802.0,810924
270,2020,1,Corrientes,720,5270,33479,21382,26679,7351,19467,478.0,113737
271,2020,1,Entre Ríos,1300,4081,72280,47132,41125,11988,39794,13762.0,230292
272,2020,1,Formosa,1127,3420,23761,65,6564,9640,6918,1000.0,46276
273,2020,1,Jujuy,550,1820,33120,9979,26693,1660,7349,16545.0,94089
274,2020,1,La Pampa,2930,8110,72740,7199,3029,1342,2113,1618.0,89145
275,2020,1,La Rioja,210,10,37209,5158,464,220,1294,0.0,48345
276,2020,1,Mendoza,580,400,140410,12285,17489,286,3818,0.0,176960
277,2020,1,Misiones,710,5240,36622,21271,26433,11581,26313,10885.0,133700
278,2020,1,Neuquén,2180,3270,60152,5257,7123,5399,43738,0.0,122214
279,2020,1,Río Negro,1140,4660,69154,293,7857,3199,25488,17719.0,126927
280,2020,1,Salta,1290,5140,38537,63714,17991,8625,34744,6441.0,170695
281,2020,1,San Juan,480,1940,59787,1594,1292,400,127,4779.0,67861
282,2020,1,San Luis,1050,0,11322,4164,5250,58258,5,36075.0,110454
283,2020,1,Santa Cruz,670,110,27447,4993,5169,5290,119,0.0,38335
284,2020,1,Santa Fe,6960,2994,217553,196826,10456,48448,173823,17656.0,762556
285,2020,1,Santiago Del Estero,1330,1779,33086,56884,3737,1350,2799,4501.0,103054
286,2020,1,Tierra Del Fuego,110,10,22976,5024,1834,1960,518,7046.0,37606
287,2020,1,Tucumán,520,970,49555,50383,31096,173,67536,0.0,200449
288,2019,4,Buenos Aires,33489,27537,1177446,262297,247106,45257,1465133,20676.0,3686254
289,2019,4,Capital Federal,3070,150,177098,110218,110852,20581,753805,0.0,1358105
290,2019,4,Catamarca,630,0,9945,7619,9305,8040,7477,3098.0,38311
291,2019,4,Chaco,830,0,25899,18959,30902,13516,21556,6988.0,117903
292,2019,4,Chubut,1580,40,69405,12945,7615,124,614,4121.0,96102
293,2019,4,Córdoba,1420,0,232781,118232,10933,114111,221742,1035.0,806688
294,2019,4,Corrientes,720,0,35055,2062,27367,9981,15744,4995.0,113834
295,2019,4,Entre Ríos,470,0,88203,44511,42962,18976,30153,14178.0,239030
296,2019,4,Formosa,1127,1910,24606,6319,6788,1766,5671,2430.0,46711
297,2019,4,Jujuy,550,0,32920,9632,26764,1020,5286,14122.0,88881
298,2019,4,La Pampa,2930,3130,76747,69,1951,1287,1342,1566.0,90399
299,2019,4,La Rioja,210,0,37846,5045,4763,220,1305,0.0,49002
300,2019,4,Mendoza,7460,90,145139,12955,15237,2165,2628,6901.0,185780
301,2019,4,Misiones,710,0,39664,2084,27305,15626,20799,11508.0,135813
302,2019,4,Neuquén,2180,10,57370,4439,7357,12059,35001,0.0,116445
303,2019,4,Río Negro,1140,0,71847,2797,8558,6968,19837,17019.0,127140
304,2019,4,Salta,1490,10,42159,67656,15369,1417,25821,712.0,172445
305,2019,4,San Juan,480,10,60626,1594,1292,400,127,1246.0,64974
306,2019,4,San Luis,1050,0,11901,4164,5250,55216,3,36287.0,108201
307,2019,4,Santa Cruz,670,0,32368,4346,2224,70,8,3500.0,39370
308,2019,4,Santa Fe,6980,0,230234,190664,113527,70998,135576,27472.0,769169
309,2019,4,Santiago Del Estero,1330,9080,34911,56309,3756,1050,2449,5017.0,103588
310,2019,4,Tierra Del Fuego,110,0,23593,505,1848,1390,1962,7789.0,40392
311,2019,4,Tucumán,550,0,54544,52017,28916,6405,56707,0.0,198644
312,2019,3,Buenos Aires,23892,44648,1432722,222812,260506,483572,1246209,42294.0,3971683
313,2019,3,Capital Federal,1040,3680,269704,120924,138011,258591,655108,0.0,1442810
314,2019,3,Catamarca,340,430,14449,9285,6333,720,15,2151.0,32382
315,2019,3,Chaco,690,1216,32764,28198,13336,12987,16740,6917.0,112227
316,2019,3,Chubut,740,8400,62680,13033,7171,124,614,45.0,90152
317,2019,3,Córdoba,830,5824,240151,106651,118486,146247,157546,7353.0,782341
318,2019,3,Corrientes,100,5970,42231,29628,10348,10388,12674,478.0,110656
319,2019,3,Entre Ríos,190,4446,99656,56161,17064,21216,22645,15107.0,236314
320,2019,3,Formosa,111,3490,24943,6049,7117,2262,4443,1000.0,46373
321,2019,3,Jujuy,270,8850,31722,924,26835,560,3671,16545.0,88981
322,2019,3,La Pampa,2370,3289,75849,5922,1611,1359,941,1618.0,90826
323,2019,3,La Rioja,90,100,38657,4786,4887,220,1307,0.0,49678
324,2019,3,Mendoza,210,1269,206821,2958,10093,1263,349,0.0,222774
