,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
266,2020,1,Catamarca,220,30,120,2610,20,400
267,2020,1,Chaco,460,540,120,60,20,1200
268,2020,1,Chubut,460,270,10,170,50,970
269,2020,1,Córdoba,2860,4060,690,420,90,8110
270,2020,1,Corrientes,510,530,20,20,50,1140
271,2020,1,Entre Ríos,900,950,130,190,140,2320
272,2020,1,Formosa,210,90,20,150,1690,460
273,2020,1,Jujuy,320,390,30,9420,170,920
274,2020,1,La Pampa,90,540,140,110,20,890
275,2020,1,La Rioja,130,350,0,2510,290,480
276,2020,1,Mendoza,920,500,280,120,7220,1830
277,2020,1,Misiones,510,690,10,4600,110,1340
278,2020,1,Neuquén,290,660,110,150,7290,1220
279,2020,1,Río Negro,480,380,100,110,180,1260
280,2020,1,Salta,600,760,230,40,70,1700
281,2020,1,San Juan,400,60,60,70,50,640
282,2020,1,San Luis,80,80,50,580,360,1110
283,2020,1,Santa Cruz,130,160,10,70,20,390
284,2020,1,Santa Fe,3020,3840,350,300,190,7710
285,2020,1,Santiago Del Estero,250,700,2000,30,50,1030
286,2020,1,Tierra Del Fuego,130,260,0,0,3080,390
287,2020,1,Tucumán,1430,100,450,10,3470,2000
288,2019,4,Buenos Aires,7200,20,6690,870,180,40
289,2019,4,Capital Federal,1970,10,360,40,290,10
290,2019,4,Catamarca,230,30,100,2610,20,380
291,2019,4,Chaco,490,540,90,50,20,1180
292,2019,4,Chubut,470,270,10,150,50,960
293,2019,4,Córdoba,2970,4100,530,380,90,8070
294,2019,4,Corrientes,530,520,20,20,50,1140
295,2019,4,Entre Ríos,930,990,130,190,150,2390
296,2019,4,Formosa,220,90,20,150,1690,470
297,2019,4,Jujuy,330,380,8730,8140,170,890
298,2019,4,La Pampa,150,570,50,110,20,900
299,2019,4,La Rioja,140,350,0,2510,290,490
300,2019,4,Mendoza,970,500,250,140,7300,1860
301,2019,4,Misiones,530,700,8470,4410,120,1360
302,2019,4,Neuquén,300,610,110,140,8540,1160
303,2019,4,Río Negro,500,380,100,110,180,1270
304,2019,4,Salta,630,760,220,30,80,1720
305,2019,4,San Juan,410,60,50,70,50,650
306,2019,4,San Luis,90,80,60,550,360,1080
307,2019,4,Santa Cruz,130,160,10,70,20,390
308,2019,4,Santa Fe,3120,3820,270,270,200,7690
309,2019,4,Santiago Del Estero,250,710,2000,30,50,1040
310,2019,4,Tierra Del Fuego,130,270,0,0,3100,400
311,2019,4,Tucumán,1470,110,400,7250,3480,1990
384,2018,4,Buenos Aires,10,20,2960,650,200,40
385,2018,4,Capital Federal,3280,10,330,40,40,10
386,2018,4,Catamarca,270,40,160,0,20,340
387,2018,4,Chaco,530,440,20,30,10,1030
388,2018,4,Chubut,370,230,9520,140,30,790
389,2018,4,Córdoba,3290,3560,180,220,130,7370
390,2018,4,Corrientes,560,420,7960,20,300,1010
391,2018,4,Entre Ríos,1010,860,50,150,140,2220
392,2018,4,Formosa,230,80,8870,140,570,450
393,2018,4,Jujuy,330,120,1530,6400,440,900
394,2018,4,La Pampa,190,550,30,80,10,860
395,2018,4,La Rioja,160,350,120,2520,360,520
396,2018,4,Mendoza,1490,400,60,100,20,2060
397,2018,4,Misiones,560,540,4650,4260,60,1160
398,2018,4,Neuquén,410,560,30,120,20,1140
399,2018,4,Río Negro,680,340,10,80,50,1170
400,2018,4,Salta,740,580,6380,2530,20,1350
401,2018,4,San Juan,520,60,8060,30,10,620
402,2018,4,San Luis,110,80,3780,530,240,960
403,2018,4,Santa Cruz,110,50,3820,60,30,250
404,2018,4,Santa Fe,3360,3230,140,190,290,7200
405,2018,4,Santiago Del Estero,250,610,230,30,810,890
406,2018,4,Tierra Del Fuego,200,230,20,0,10,460
407,2018,4,Tucumán,1590,120,1190,6860,3140,1720
408,2018,3,Buenos Aires,10,20,1560,620,260,40
409,2018,3,Capital Federal,3340,10,360,40,90,10
410,2018,3,Catamarca,280,40,150,10,20,340
411,2018,3,Chaco,540,420,20,30,10,1020
412,2018,3,Chubut,590,230,10,140,70,1040
413,2018,3,Córdoba,3380,3420,160,190,110,7260
414,2018,3,Corrientes,560,410,2120,10,320,990
415,2018,3,Entre Ríos,1030,840,20,150,800,2050
416,2018,3,Formosa,230,80,8170,140,570,450
417,2018,3,Jujuy,330,110,320,6410,430,450
418,2018,3,La Pampa,120,550,80,70,9870,830
419,2018,3,La Rioja,170,350,130,2530,350,520
420,2018,3,Mendoza,1510,400,60,80,20,2070
421,2018,3,Misiones,560,510,5120,3910,560,1080
422,2018,3,Neuquén,470,540,9980,120,30,1170
423,2018,3,Río Negro,690,330,10,50,50,1130
424,2018,3,Salta,770,540,6780,2340,10,1330
425,2018,3,San Juan,540,60,8260,30,10,640
426,2018,3,San Luis,110,80,3680,530,20,740
427,2018,3,Santa Cruz,190,50,5850,60,40,340
428,2018,3,Santa Fe,3390,3130,120,160,150,6950
429,2018,3,Santiago Del Estero,260,590,230,20,810,860
430,2018,3,Tierra Del Fuego,190,230,20,10,20,460
431,2018,3,Tucumán,1610,90,1100,2520,3150,1710
432,2018,2,Buenos Aires,10,20,1440,710,280,40
433,2018,2,Capital Federal,3420,9780,360,40,90,10
434,2018,2,Catamarca,270,40,150,10,20,340
435,2018,2,Chaco,540,410,5620,20,10,990
436,2018,2,Chubut,590,200,10,140,70,1010
437,2018,2,Córdoba,3450,3280,140,160,100,7130
438,2018,2,Corrientes,570,400,2010,10,320,980
439,2018,2,Entre Ríos,1050,800,20,120,800,2000
440,2018,2,Formosa,240,70,180,140,570,450
441,2018,2,Jujuy,340,110,230,6400,430,450
442,2018,2,La Pampa,120,540,80,70,9870,820
443,2018,2,La Rioja,170,350,130,2530,350,520
444,2018,2,Mendoza,1530,370,30,60,20,2010
445,2018,2,Misiones,570,480,5120,3910,560,1060
446,2018,2,Neuquén,470,530,9980,130,30,1160
447,2018,2,Río Negro,690,330,10,40,50,1120
448,2018,2,Salta,780,530,6780,2340,10,1340
449,2018,2,San Juan,540,50,8260,30,10,640
450,2018,2,San Luis,110,80,3680,160,20,210
451,2018,2,Santa Cruz,190,40,5850,70,40,340
452,2018,2,Santa Fe,3380,3040,110,160,150,6850
453,2018,2,Santiago Del Estero,260,560,230,20,810,840
454,2018,2,Tierra Del Fuego,190,230,5310,10,20,450
455,2018,2,Tucumán,1600,90,1100,2520,3150,1700
456,2018,1,Buenos Aires,10,20,1340,640,310,30
457,2018,1,Capital Federal,3500,9680,360,30,90,10
458,2018,1,Catamarca,270,40,150,10,20,340
459,2018,1,Chaco,550,400,3830,3880,10,970
460,2018,1,Chubut,560,200,10,140,70,980
461,2018,1,Córdoba,3490,3270,130,130,110,7140
462,2018,1,Corrientes,570,350,8880,10,330,940
463,2018,1,Entre Ríos,1070,760,40,110,800,1970
464,2018,1,Formosa,240,70,170,20,570,320
465,2018,1,Jujuy,340,100,230,280,430,440
466,2018,1,La Pampa,110,510,80,110,20,830
467,2018,1,La Rioja,170,350,130,2530,350,520
468,2018,1,Mendoza,1530,370,30,60,20,2010
469,2018,1,Misiones,560,470,3280,50,560,1040
470,2018,1,Neuquén,470,550,10,120,30,1180
471,2018,1,Río Negro,690,320,10,40,50,1110
472,2018,1,Salta,800,520,1180,2040,10,1330
473,2018,1,San Juan,540,50,8260,20,10,630
474,2018,1,San Luis,110,80,3680,160,20,210
475,2018,1,Santa Cruz,190,40,20,70,30,340
476,2018,1,Santa Fe,3420,3000,110,120,150,6800
477,2018,1,Santiago Del Estero,270,550,230,10,810,830
478,2018,1,Tierra Del Fuego,190,100,5310,10,20,320
479,2018,1,Tucumán,1590,90,1070,3680,500,1680
480,2017,4,Buenos Aires,10,20,1310,600,310,30
481,2017,4,Capital Federal,5710,9620,360,30,100,20
482,2017,4,Catamarca,270,2630,110,10,20,300
483,2017,4,Chaco,550,400,3890,3800,10,970
484,2017,4,Chubut,560,150,10,140,70,930
485,2017,4,Córdoba,3500,3250,130,120,110,7100
486,2017,4,Corrientes,570,350,8940,10,350,940
487,2017,4,Entre Ríos,1080,740,20,100,860,1940
488,2017,4,Formosa,230,70,190,20,510,320
489,2017,4,Jujuy,340,100,200,280,340,440
490,2017,4,La Pampa,110,500,80,110,20,820
491,2017,4,La Rioja,170,350,140,2530,310,520
492,2017,4,Mendoza,1530,160,30,60,20,1800
493,2017,4,Misiones,560,470,950,50,540,1040
494,2017,4,Neuquén,470,540,10,120,30,1170
495,2017,4,Río Negro,690,300,10,40,50,1100
496,2017,4,Salta,810,500,1270,1580,10,1330
497,2017,4,San Juan,540,4510,8120,20,10,590
498,2017,4,San Luis,110,10,3350,170,20,150
499,2017,4,Santa Cruz,190,20,5820,50,40,290
500,2017,4,Santa Fe,3420,2940,110,110,150,6720
501,2017,4,Santiago Del Estero,270,400,190,10,800,690
502,2017,4,Tierra Del Fuego,190,70,5300,10,20,290
503,2017,4,Tucumán,1570,50,1050,1020,3190,1620
504,2017,3,Buenos Aires,10,20,1250,350,390,30
505,2017,3,Capital Federal,5830,9410,330,30,100,20
506,2017,3,Catamarca,270,40,120,10,20,330
507,2017,3,Chaco,550,370,4560,360,10,940
508,2017,3,Chubut,560,60,10,140,70,840
509,2017,3,Córdoba,3450,3190,110,70,150,6970
510,2017,3,Corrientes,560,340,9470,10,270,930
511,2017,3,Entre Ríos,1080,700,20,60,630,1850
512,2017,3,Formosa,230,70,4280,20,120,320
513,2017,3,Jujuy,340,90,200,230,80,430
514,2017,3,La Pampa,110,500,50,120,20,800
515,2017,3,La Rioja,170,350,140,2520,250,520
516,2017,3,Mendoza,1540,340,30,290,20,1920
517,2017,3,Misiones,560,440,1100,50,90,1000
518,2017,3,Neuquén,480,520,10,120,30,1160
519,2017,3,Río Negro,690,300,10,30,40,1070
520,2017,3,Salta,810,500,1270,1580,10,1330
521,2017,3,San Juan,540,50,8160,10,10,620
522,2017,3,San Luis,110,80,3470,260,20,220
523,2017,3,Santa Cruz,190,50,20,50,30,340
524,2017,3,Santa Fe,3230,2910,60,50,370,6620
525,2017,3,Santiago Del Estero,280,540,190,9110,350,830
526,2017,3,Tierra Del Fuego,220,70,6220,10,20,310
527,2017,3,Tucumán,1540,60,1060,400,3050,1610
528,2017,2,Buenos Aires,10,20,1190,220,240,30
529,2017,2,Capital Federal,6150,9320,390,30,110,20
530,2017,2,Catamarca,260,2550,140,10,340,270
531,2017,2,Chaco,540,360,4580,520,390,910
532,2017,2,Chubut,440,10,9160,130,50,640
533,2017,2,Córdoba,3420,3030,40,60,20,6580
534,2017,2,Corrientes,550,330,2580,10,310,900
535,2017,2,Entre Ríos,1080,680,2540,60,710,1830
536,2017,2,Formosa,220,60,170,10,130,300
537,2017,2,Jujuy,340,90,220,0,350,430
538,2017,2,La Pampa,130,480,50,60,5110,730
539,2017,2,La Rioja,160,0,150,20,280,160
540,2017,2,Mendoza,1530,130,30,270,20,1710
541,2017,2,Misiones,570,430,1030,50,90,1000
542,2017,2,Neuquén,520,500,10,120,30,1170
543,2017,2,Río Negro,670,290,9610,30,10,1020
544,2017,2,Salta,800,270,1150,1580,8040,1090
545,2017,2,San Juan,490,4510,7720,10,9150,520
546,2017,2,San Luis,110,10,3540,260,3750,130
547,2017,2,Santa Cruz,150,30,10,50,20,260
548,2017,2,Santa Fe,3300,2280,30,50,10,5670
549,2017,2,Santiago Del Estero,280,40,190,9110,290,330
550,2017,2,Tierra Del Fuego,230,70,6650,10,20,330
551,2017,2,Tucumán,1490,50,1160,140,450,1540
552,2017,1,Buenos Aires,20,10,1190,210,240,30
553,2017,1,Capital Federal,4290,9180,380,30,110,10
554,2017,1,Catamarca,260,2480,140,10,340,260
555,2017,1,Chaco,540,340,2520,520,390,890
556,2017,1,Chubut,440,9990,9160,130,50,640
557,2017,1,Córdoba,3360,2930,50,60,10,6410
558,2017,1,Corrientes,550,320,2360,10,310,890
559,2017,1,Entre Ríos,1090,650,2300,60,710,1800
560,2017,1,Formosa,220,60,160,10,130,300
561,2017,1,Jujuy,340,90,220,0,340,430
562,2017,1,La Pampa,130,470,50,60,5170,720
563,2017,1,La Rioja,160,0,150,20,280,160
564,2017,1,Mendoza,1530,130,30,270,20,1710
565,2017,1,Misiones,570,400,1010,50,80,980
566,2017,1,Neuquén,520,480,10,120,30,1150
567,2017,1,Río Negro,670,290,9540,30,10,1010
568,2017,1,Salta,800,270,1140,1580,6790,1080
569,2017,1,San Juan,490,4510,7720,10,9070,520
570,2017,1,San Luis,110,10,3540,260,3750,130
571,2017,1,Santa Cruz,160,30,10,50,20,260
572,2017,1,Santa Fe,3270,2260,30,50,10,5630
573,2017,1,Santiago Del Estero,300,40,190,9110,290,340
574,2017,1,Tierra Del Fuego,230,70,6650,10,20,330
575,2017,1,Tucumán,1470,50,1160,140,450,1530
576,2016,4,Buenos Aires,20,10,1190,210,240,30
577,2016,4,Capital Federal,4350,9150,380,30,110,10
578,2016,4,Catamarca,270,2500,140,10,340,270
579,2016,4,Chaco,550,340,2480,520,390,890
580,2016,4,Chubut,440,9550,9160,130,50,640
581,2016,4,Córdoba,3370,2890,30,60,7890,6370
582,2016,4,Corrientes,550,310,2330,10,310,880
583,2016,4,Entre Ríos,1090,640,2260,60,710,1800
584,2016,4,Formosa,220,60,160,10,130,300
585,2016,4,Jujuy,340,90,220,0,340,430
586,2016,4,La Pampa,130,470,50,60,5220,720
