,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
289,2019,4,Capital Federal,1,10,1
290,2019,4,Catamarca,38,10,38
291,2019,4,Chaco,118,30,118
292,2019,4,Chubut,95,8100,96
293,2019,4,Córdoba,807,550,807
294,2019,4,Corrientes,114,30,114
295,2019,4,Entre Ríos,239,130,239
296,2019,4,Formosa,47,0,47
297,2019,4,Jujuy,89,0,89
298,2019,4,La Pampa,90,1190,90
299,2019,4,La Rioja,49,30,49
300,2019,4,Mendoza,185,6230,186
301,2019,4,Misiones,136,0,136
302,2019,4,Neuquén,116,3760,116
303,2019,4,Río Negro,127,5040,127
304,2019,4,Salta,172,20,172
305,2019,4,San Juan,65,2590,65
306,2019,4,San Luis,108,1480,108
307,2019,4,Santa Cruz,39,2000,39
308,2019,4,Santa Fe,769,1500,769
309,2019,4,Santiago Del Estero,104,10,104
310,2019,4,Tierra Del Fuego,40,2910,40
311,2019,4,Tucumán,199,230,199
312,2019,3,Buenos Aires,4,100,4
313,2019,3,Capital Federal,1,30,1
314,2019,3,Catamarca,32,90,32
315,2019,3,Chaco,114,130,114
316,2019,3,Chubut,87,20,89
317,2019,3,Córdoba,783,1070,783
318,2019,3,Corrientes,113,100,113
319,2019,3,Entre Ríos,238,450,238
320,2019,3,Formosa,46,0,46
321,2019,3,Jujuy,87,10,87
322,2019,3,La Pampa,91,2690,91
323,2019,3,La Rioja,50,180,50
324,2019,3,Mendoza,223,10,224
325,2019,3,Misiones,134,0,134
326,2019,3,Neuquén,123,20,125
327,2019,3,Río Negro,143,9040,144
328,2019,3,Salta,152,10,152
329,2019,3,San Juan,73,5630,73
330,2019,3,San Luis,122,2910,123
331,2019,3,Santa Cruz,38,3280,38
332,2019,3,Santa Fe,761,2280,761
333,2019,3,Santiago Del Estero,133,20,133
334,2019,3,Tierra Del Fuego,48,5440,49
335,2019,3,Tucumán,164,320,164
336,2019,2,Buenos Aires,4,100,4
337,2019,2,Capital Federal,1,30,1
338,2019,2,Catamarca,34,90,34
339,2019,2,Chaco,109,130,109
340,2019,2,Chubut,86,20,88
341,2019,2,Córdoba,775,1050,775
342,2019,2,Corrientes,112,100,112
343,2019,2,Entre Ríos,236,440,236
344,2019,2,Formosa,46,0,46
345,2019,2,Jujuy,87,10,87
346,2019,2,La Pampa,90,2680,90
347,2019,2,La Rioja,50,180,50
348,2019,2,Mendoza,223,10,224
349,2019,2,Misiones,133,0,133
350,2019,2,Neuquén,121,20,123
351,2019,2,Río Negro,138,9150,139
352,2019,2,Salta,143,10,143
353,2019,2,San Juan,69,5640,70
354,2019,2,San Luis,117,2910,117
355,2019,2,Santa Cruz,30,3250,31
356,2019,2,Santa Fe,743,2260,743
357,2019,2,Santiago Del Estero,127,20,127
358,2019,2,Tierra Del Fuego,47,5440,47
359,2019,2,Tucumán,166,320,166
360,2019,1,Buenos Aires,4,100,4
361,2019,1,Capital Federal,1,30,1
362,2019,1,Catamarca,34,90,34
363,2019,1,Chaco,104,130,104
364,2019,1,Chubut,78,20,80
365,2019,1,Córdoba,744,1050,744
366,2019,1,Corrientes,102,100,102
367,2019,1,Entre Ríos,232,440,232
368,2019,1,Formosa,45,0,45
369,2019,1,Jujuy,90,10,90
370,2019,1,La Pampa,89,2680,89
371,2019,1,La Rioja,52,180,52
372,2019,1,Mendoza,205,10,206
373,2019,1,Misiones,123,0,123
374,2019,1,Neuquén,112,20,114
375,2019,1,Río Negro,120,9150,121
376,2019,1,Salta,136,10,136
377,2019,1,San Juan,62,5640,62
378,2019,1,San Luis,96,2910,96
379,2019,1,Santa Cruz,25,3250,25
380,2019,1,Santa Fe,737,2270,737
381,2019,1,Santiago Del Estero,90,20,90
382,2019,1,Tierra Del Fuego,46,5440,46
383,2019,1,Tucumán,172,320,172
384,2018,4,Buenos Aires,4,100,4
385,2018,4,Capital Federal,1,30,1
386,2018,4,Catamarca,34,90,34
387,2018,4,Chaco,103,130,103
388,2018,4,Chubut,77,20,79
389,2018,4,Córdoba,737,1050,737
390,2018,4,Corrientes,101,100,101
391,2018,4,Entre Ríos,222,440,222
392,2018,4,Formosa,45,0,45
393,2018,4,Jujuy,90,10,90
394,2018,4,La Pampa,85,2680,86
395,2018,4,La Rioja,52,180,52
396,2018,4,Mendoza,205,10,206
397,2018,4,Misiones,116,0,116
398,2018,4,Neuquén,112,20,114
399,2018,4,Río Negro,116,9150,117
400,2018,4,Salta,135,10,135
401,2018,4,San Juan,62,5640,62
402,2018,4,San Luis,96,2910,96
403,2018,4,Santa Cruz,24,3250,25
404,2018,4,Santa Fe,720,2290,720
405,2018,4,Santiago Del Estero,89,20,89
406,2018,4,Tierra Del Fuego,46,5440,46
407,2018,4,Tucumán,172,320,172
408,2018,3,Buenos Aires,4,110,4
