,Provincia,Partido,Localidad,Otros,"0,256 Mbps","0,375 Mbps","0,5 Mbps","0,512 Mbps","0,625 Mbps","0,75 Mbps",1 Mbps,"1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,64 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,78 Mbps,80 Mbps,83 Mbps
31,BUENOS AIRES,Almirante Brown,Don Orione,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,209,0,0,0,0,0,0,3870,0,0,0
32,BUENOS AIRES,Almirante Brown,Glew,10,0,0,50,0,0,70,50,0,0,150,0,0,50,0,270,290,0,30,120,0,0,0,160,0,3150,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,430,0,0,0,0,11737,0,0,0,0,0,0,0,0,0,0,0,0,0,1720,0,0,0,0,0,0,2894,0,0,0,0,0,0,7100,0,0,0
33,BUENOS AIRES,Almirante Brown,Jose Mármol,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,10,160,0,0,0,30,0,4220,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,260,0,0,0,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,0,0,0,0,0,0,1559,0,0,0,0,0,0,3340,0,0,0
34,BUENOS AIRES,Almirante Brown,Longchamps,10,0,0,10,0,0,30,0,0,0,0,0,0,30,0,210,0,0,50,10,0,0,0,40,0,5990,0,0,0,0,0,0,40,0,0,0,10,0,0,0,0,0,260,0,0,0,0,7433,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,0,0,0,0,0,0,2512,0,0,0,0,0,0,6120,0,0,0
35,BUENOS AIRES,Almirante Brown,Malvinas Argentinas,10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,20,320,0,0,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,120,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,1652,0,0,0,0,0,0,2960,0,0,0
36,BUENOS AIRES,Almirante Brown,Ministro Rivadavia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,30,0,0,0,0,0,0,2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,4094,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,1334,0,0,0,0,0,0,2490,0,0,0
37,BUENOS AIRES,Almirante Brown,Rafael Calzada,0,0,0,30,0,0,100,290,0,0,0,0,0,990,0,180,3390,0,110,590,0,0,0,30,0,6350,0,0,0,0,0,0,90,0,0,0,10,0,0,0,0,0,220,0,0,0,0,9969,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,0,0,0,0,0,0,3107,0,0,0,0,0,0,6020,0,0,0
38,BUENOS AIRES,Almirante Brown,San Francisco Solano,10,0,0,10,0,0,40,90,0,0,0,0,0,400,0,210,0,0,0,1140,0,0,0,0,0,1200,0,0,0,0,0,0,10,0,0,0,130,0,0,0,0,0,40,0,0,0,0,3236,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,1539,0,0,0,0,0,0,2600,0,0,0
39,BUENOS AIRES,Almirante Brown,San Jose,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,20,0,0,40,1000,0,0,0,0,0,4720,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,220,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,3458,0,0,0,0,0,0,6440,0,0,0
40,BUENOS AIRES,AMBA,OTROS,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,BUENOS AIRES,Arrecifes,Arrecifes,20,0,0,10,0,0,60,1370,0,0,2750,0,0,1009,0,1650,4490,0,0,670,0,0,0,2850,0,90,0,0,0,0,0,0,4500,0,0,0,3372,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,BUENOS AIRES,Arrecifes,Todd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,BUENOS AIRES,Arrecifes,Viña,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,BUENOS AIRES,Avellaneda,Avellaneda,240,0,0,80,50,0,430,430,0,0,10,0,0,330,0,2880,0,0,100,400,0,0,0,3970,0,2950,0,0,0,0,0,0,8030,0,0,0,690,0,0,0,0,0,80,0,0,0,0,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,0,0,0,0,0,0,7120,0,0,0,0,0,0,1880,0,0,0
45,BUENOS AIRES,Avellaneda,Crucesita,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,60,0,0,40,180,0,0,0,30,0,1740,0,0,0,0,0,0,10,0,0,0,240,0,0,0,0,0,80,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,0,0,0,0,0,0,5010,0,0,0,0,0,0,1210,0,0,0
46,BUENOS AIRES,Avellaneda,Dock Sud,20,0,0,10,0,0,50,60,0,0,0,0,0,50,0,0,0,0,0,2690,0,0,0,10,0,580,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,230,10,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,0,0,0,0,0,0,2150,0,0,0,0,0,0,520,0,0,0
47,BUENOS AIRES,Avellaneda,Gerli,0,0,0,10,0,0,20,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4030,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,140,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3584,0,0,0,0,0,0,8900,0,0,0,0,0,0,1700,0,0,0
48,BUENOS AIRES,Avellaneda,Pineyro,10,0,0,40,0,0,20,60,0,0,20,0,0,10,0,40,0,0,80,0,0,0,0,20,0,2960,0,0,0,0,0,0,10,0,0,0,140,0,0,0,0,0,130,0,0,0,0,160,0,0,0,0,0,0,0,10,0,0,0,0,0,2012,0,0,0,0,0,0,7840,0,0,0,0,0,0,1480,0,0,0
49,BUENOS AIRES,Avellaneda,Sarandí,50,0,0,120,10,0,350,50,0,0,40,0,0,20,0,2150,0,0,140,280,0,0,0,1280,0,4530,0,0,0,0,0,0,1604,0,0,0,860,0,0,0,0,0,330,0,0,0,0,3399,0,0,0,0,0,0,0,0,0,0,0,0,0,6612,0,0,0,0,0,0,1407,0,0,0,0,0,0,2780,0,0,0
