Año,Trimestre,Provincia,Accesos por cada 100 hogares,provincia_id,año_id
2019,3,Chaco,35.85,3,3
2019,3,Chubut,47.57,4,3
2019,3,Córdoba,68.59,5,3
2019,3,Corrientes,38.49,6,3
2019,3,Entre Ríos,57.9,7,3
2019,3,Formosa,30.11,8,3
2019,3,Jujuy,44.32,9,3
2019,3,La Pampa,77.45,10,3
2019,3,La Rioja,47.94,11,3
2019,3,Mendoza,40.74,12,3
2019,3,Misiones,39.33,13,3
2019,3,Neuquén,64.14,14,3
2019,3,Río Negro,63.42,15,3
2019,3,Salta,44.48,16,3
2019,3,San Juan,37.06,17,3
2019,3,San Luis,85.23,18,3
2019,3,Santa Cruz,35.63,19,3
2019,3,Santa Fe,68.87,20,3
2019,3,Santiago Del Estero,55.3,21,3
2019,3,Tierra Del Fuego,96.46,22,3
2019,3,Tucumán,39.49,23,3
2019,2,Buenos Aires,67.85,0,3
2019,2,Capital Federal,110.55,1,3
2019,2,Catamarca,32.13,2,3
2019,2,Chaco,34.14,3,3
2019,2,Chubut,46.99,4,3
2019,2,Córdoba,68.07,5,3
2019,2,Corrientes,38.16,6,3
2019,2,Entre Ríos,57.48,7,3
2019,2,Formosa,30.42,8,3
2019,2,Jujuy,44.51,9,3
2019,2,La Pampa,77.08,10,3
2019,2,La Rioja,48.7,11,3
2019,2,Mendoza,40.75,12,3
2019,2,Misiones,39.15,13,3
2019,2,Neuquén,63.08,14,3
2019,2,Río Negro,61.09,15,3
2019,2,Salta,41.89,16,3
2019,2,San Juan,35.6,17,3
2019,2,San Luis,81.79,18,3
2019,2,Santa Cruz,28.85,19,3
2019,2,Santa Fe,67.42,20,3
2019,2,Santiago Del Estero,52.79,21,3
2019,2,Tierra Del Fuego,94.8,22,3
2019,2,Tucumán,40.14,23,3
2019,1,Buenos Aires,66.24,0,3
2019,1,Capital Federal,109.2,1,3
2019,1,Catamarca,32.19,2,3
2019,1,Chaco,32.64,3,3
2019,1,Chubut,43.0,4,3
2019,1,Córdoba,65.52,5,3
2019,1,Corrientes,35.13,6,3
2019,1,Entre Ríos,56.79,7,3
2019,1,Formosa,29.68,8,3
2019,1,Jujuy,46.41,9,3
2019,1,La Pampa,76.35,10,3
2019,1,La Rioja,50.18,11,3
2019,1,Mendoza,37.66,12,3
2019,1,Misiones,36.26,13,3
2019,1,Neuquén,58.88,14,3
2019,1,Río Negro,53.57,15,3
2019,1,Salta,40.1,16,3
2019,1,San Juan,31.83,17,3
2019,1,San Luis,67.34,18,3
2019,1,Santa Cruz,23.67,19,3
2019,1,Santa Fe,66.97,20,3
2019,1,Santiago Del Estero,37.52,21,3
2019,1,Tierra Del Fuego,93.38,22,3
2019,1,Tucumán,41.63,23,3
2018,4,Buenos Aires,64.6,0,4
2018,4,Capital Federal,108.27,1,4
2018,4,Catamarca,32.23,2,4
2018,4,Chaco,32.59,3,4
2018,4,Chubut,42.61,4,4
2018,4,Córdoba,65.09,5,4
2018,4,Corrientes,34.57,6,4
2018,4,Entre Ríos,54.37,7,4
2018,4,Formosa,29.74,8,4
2018,4,Jujuy,46.53,9,4
2018,4,La Pampa,73.49,10,4
2018,4,La Rioja,50.35,11,4
2018,4,Mendoza,37.76,12,4
2018,4,Misiones,34.45,13,4
2018,4,Neuquén,59.07,14,4
2018,4,Río Negro,51.86,15,4
2018,4,Salta,39.8,16,4
2018,4,San Juan,31.9,17,4
2018,4,San Luis,67.55,18,4
2018,4,Santa Cruz,23.69,19,4
2018,4,Santa Fe,65.59,20,4
2018,4,Santiago Del Estero,37.4,21,4
2018,4,Tierra Del Fuego,93.59,22,4
2018,4,Tucumán,41.76,23,4
2018,3,Buenos Aires,64.44,0,4
2018,3,Capital Federal,108.45,1,4
2018,3,Catamarca,32.92,2,4
2018,3,Chaco,32.28,3,4
2018,3,Chubut,56.39,4,4
2018,3,Córdoba,64.24,5,4
2018,3,Corrientes,34.25,6,4
2018,3,Entre Ríos,50.22,7,4
2018,3,Formosa,29.58,8,4
2018,3,Jujuy,23.26,9,4
2018,3,La Pampa,71.75,10,4
2018,3,La Rioja,50.73,11,4
2018,3,Mendoza,37.99,12,4
2018,3,Misiones,32.1,13,4
2018,3,Neuquén,60.49,14,4
2018,3,Río Negro,50.54,15,4
2018,3,Salta,39.43,16,4
2018,3,San Juan,33.05,17,4
2018,3,San Luis,52.35,18,4
2018,3,Santa Cruz,32.73,19,4
2018,3,Santa Fe,63.41,20,4
2018,3,Santiago Del Estero,36.25,21,4
2018,3,Tierra Del Fuego,92.77,22,4
2018,3,Tucumán,41.68,23,4
2018,2,Buenos Aires,62.78,0,4
2018,2,Capital Federal,106.53,1,4
2018,2,Catamarca,32.86,2,4
2018,2,Chaco,31.25,3,4
2018,2,Chubut,54.9,4,4
2018,2,Córdoba,63.27,5,4
2018,2,Corrientes,33.81,6,4
2018,2,Entre Ríos,49.2,7,4
2018,2,Formosa,29.43,8,4
2018,2,Jujuy,23.43,9,4
2018,2,La Pampa,71.04,10,4
2018,2,La Rioja,50.98,11,4
2018,2,Mendoza,36.97,12,4
2018,2,Misiones,31.63,13,4
2018,2,Neuquén,60.24,14,4
2018,2,Río Negro,50.15,15,4
2018,2,Salta,39.94,16,4
2018,2,San Juan,32.95,17,4
2018,2,San Luis,15.15,18,4
2018,2,Santa Cruz,33.33,19,4
2018,2,Santa Fe,62.57,20,4
2018,2,Santiago Del Estero,35.26,21,4
2018,2,Tierra Del Fuego,91.61,22,4
2018,2,Tucumán,41.51,23,4
2018,1,Buenos Aires,62.63,0,4
2018,1,Capital Federal,106.24,1,4
2018,1,Catamarca,32.79,2,4
2018,1,Chaco,30.83,3,4
2018,1,Chubut,53.72,4,4
2018,1,Córdoba,63.52,5,4
2018,1,Corrientes,32.66,6,4
2018,1,Entre Ríos,48.68,7,4
2018,1,Formosa,21.4,8,4
2018,1,Jujuy,23.12,9,4
2018,1,La Pampa,71.75,10,4
2018,1,La Rioja,51.44,11,4
2018,1,Mendoza,37.07,12,4
2018,1,Misiones,30.96,13,4
2018,1,Neuquén,61.52,14,4
2018,1,Río Negro,49.82,15,4
2018,1,Salta,39.78,16,4
2018,1,San Juan,32.61,17,4
2018,1,San Luis,15.15,18,4
2018,1,Santa Cruz,33.55,19,4
2018,1,Santa Fe,62.28,20,4
2018,1,Santiago Del Estero,34.99,21,4
2018,1,Tierra Del Fuego,65.2,22,4
2018,1,Tucumán,41.18,23,4
2017,4,Buenos Aires,57.61,0,5
2017,4,Capital Federal,122.9,1,5
2017,4,Catamarca,28.62,2,5
2017,4,Chaco,30.81,3,5
2017,4,Chubut,51.46,4,5
2017,4,Córdoba,63.33,5,5
2017,4,Corrientes,32.52,6,5
2017,4,Entre Ríos,47.89,7,5
2017,4,Formosa,21.27,8,5
2017,4,Jujuy,22.74,9,5
2017,4,La Pampa,71.05,10,5
2017,4,La Rioja,51.57,11,5
2017,4,Mendoza,33.33,12,5
2017,4,Misiones,31.14,13,5
2017,4,Neuquén,61.24,14,5
2017,4,Río Negro,49.38,15,5
2017,4,Salta,39.8,16,5
2017,4,San Juan,30.3,17,5
2017,4,San Luis,10.59,18,5
2017,4,Santa Cruz,28.91,19,5
2017,4,Santa Fe,61.71,20,5
2017,4,Santiago Del Estero,29.13,21,5
2017,4,Tierra Del Fuego,59.89,22,5
2017,4,Tucumán,39.9,23,5
2017,3,Buenos Aires,55.63,0,5
2017,3,Capital Federal,121.86,1,5
2017,3,Catamarca,32.49,2,5
2017,3,Chaco,29.98,3,5
2017,3,Chubut,46.22,4,5
2017,3,Córdoba,62.31,5,5
2017,3,Corrientes,32.17,6,5
2017,3,Entre Ríos,45.96,7,5
2017,3,Formosa,21.35,8,5
2017,3,Jujuy,22.65,9,5
2017,3,La Pampa,69.14,10,5
2017,3,La Rioja,51.47,11,5
2017,3,Mendoza,35.7,12,5
2017,3,Misiones,30.21,13,5
2017,3,Neuquén,60.83,14,5
2017,3,Río Negro,48.52,15,5
2017,3,Salta,39.84,16,5
2017,3,San Juan,32.37,17,5
2017,3,San Luis,15.48,18,5
2017,3,Santa Cruz,33.29,19,5
2017,3,Santa Fe,60.91,20,5
2017,3,Santiago Del Estero,35.12,21,5
2017,3,Tierra Del Fuego,65.74,22,5
2017,3,Tucumán,39.7,23,5
2017,2,Buenos Aires,56.27,0,5
2017,2,Capital Federal,124.06,1,5
2017,2,Catamarca,25.98,2,5
2017,2,Chaco,29.05,3,5
2017,2,Chubut,35.55,4,5
2017,2,Córdoba,58.97,5,5
2017,2,Corrientes,31.39,6,5
2017,2,Entre Ríos,45.39,7,5
2017,2,Formosa,19.97,8,5
2017,2,Jujuy,22.4,9,5
2017,2,La Pampa,63.49,10,5
2017,2,La Rioja,16.2,11,5
2017,2,Mendoza,31.76,12,5
2017,2,Misiones,30.09,13,5
2017,2,Neuquén,61.91,14,5
2017,2,Río Negro,46.02,15,5
2017,2,Salta,32.74,16,5
2017,2,San Juan,26.96,17,5
