Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,provincia_id,año_id
2019,3,Formosa,46066,0.0,46066,8,3
2019,3,Jujuy,86575,10.0,86576,9,3
2019,3,La Pampa,90559,2690.0,90828,10,3
2019,3,La Rioja,49659,180.0,49677,11,3
2019,3,Mendoza,223015,13220.0,224337,12,3
2019,3,Misiones,133883,0.0,133883,13,3
2019,3,Neuquén,123435,19860.0,125421,14,3
2019,3,Río Negro,143391,9040.0,144295,15,3
2019,3,Salta,151834,10.0,151835,16,3
2019,3,San Juan,72535,5630.0,73098,17,3
2019,3,San Luis,122409,2910.0,122700,18,3
2019,3,Santa Cruz,37642,3280.0,37970,19,3
2019,3,Santa Fe,760706,2280.0,760934,20,3
2019,3,Santiago Del Estero,133130,20.0,133132,21,3
2019,3,Tierra Del Fuego,48043,5440.0,48587,22,3
2019,3,Tucumán,164099,320.0,164131,23,3
2019,2,Buenos Aires,3845594,101040.0,3855698,0,3
2019,2,Capital Federal,1412177,34430.0,1415620,1,3
2019,2,Catamarca,33626,90.0,33635,2,3
2019,2,Chaco,108721,130.0,108734,3,3
2019,2,Chubut,86038,15180.0,87556,4,3
2019,2,Córdoba,775023,1050.0,775128,5,3
2019,2,Corrientes,111539,100.0,111549,6,3
2019,2,Entre Ríos,235780,440.0,235824,7,3
2019,2,Formosa,46438,0.0,46438,8,3
2019,2,Jujuy,86706,10.0,86707,9,3
2019,2,La Pampa,89937,2680.0,90205,10,3
2019,2,La Rioja,50283,180.0,50301,11,3
2019,2,Mendoza,222535,13220.0,223857,12,3
2019,2,Misiones,132878,0.0,132878,13,3
2019,2,Neuquén,120954,19990.0,122953,14,3
2019,2,Río Negro,137632,9150.0,138547,15,3
2019,2,Salta,142567,10.0,142568,16,3
2019,2,San Juan,69461,5640.0,70025,17,3
2019,2,San Luis,117094,2910.0,117385,18,3
2019,2,Santa Cruz,30225,3250.0,30550,19,3
2019,2,Santa Fe,743258,2260.0,743484,20,3
2019,2,Santiago Del Estero,126752,20.0,126754,21,3
2019,2,Tierra Del Fuego,46910,5440.0,47454,22,3
2019,2,Tucumán,166299,320.0,166331,23,3
2019,1,Buenos Aires,3736563,101040.0,3746667,0,3
2019,1,Capital Federal,1396157,34430.0,1399600,1,3
2019,1,Catamarca,33613,90.0,33622,2,3
2019,1,Chaco,103664,130.0,103677,3,3
2019,1,Chubut,78260,15180.0,79778,4,3
2019,1,Córdoba,744010,1050.0,744115,5,3
2019,1,Corrientes,102477,100.0,102487,6,3
2019,1,Entre Ríos,232403,440.0,232447,7,3
