,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
135,2021,3,Río Negro,47934,44519,18725,15031,18376,144585,,,,,,,,,
136,2021,3,Salta,49212,98318,36126,5724,6453,195833,,,,,,,,,
137,2021,3,San Juan,40072,12922,6670,11372,8447,79483,,,,,,,,,
138,2021,3,San Luis,8417,11884,27,68856,28680,117864,,,,,,,,,
139,2021,3,Santa Cruz,12347,22961,6328,4269,3071,48976,,,,,,,,,
140,2021,3,Santa Fe,245929,443156,93412,43447,15640,841584,,,,,,,,,
141,2021,3,Santiago Del Estero,19939,85535,909,6147,2928,115458,,,,,,,,,
142,2021,3,Tierra Del Fuego,12853,36958,6,16,390,50223,,,,,,,,,
143,2021,3,Tucumán,104489,53868,70964,2408,743,232472,,,,,,,,,
144,2021,2,Buenos Aires,603255,2503830,854173,113546,57547,4132351,,,,,,,,,
145,2021,2,Capital Federal,148989,1175097,41318,5580,29371,1400355,,,,,,,,,
146,2021,2,Catamarca,20305,9426,22331,1449,2233,55744,,,,,,,,,
147,2021,2,Chaco,39826,62948,27584,8018,2353,140729,,,,,,,,,
148,2021,2,Chubut,49271,41497,6081,23682,18706,139237,,,,,,,,,
149,2021,2,Córdoba,239780,467782,151855,55944,15519,930880,,,,,,,,,
150,2021,2,Corrientes,46648,67262,3731,6557,5303,129501,,,,,,,,,
151,2021,2,Entre Ríos,77836,124957,17856,23786,13197,257632,,,,,,,,,
152,2021,2,Formosa,19571,12509,3610,15690,171,51551,,,,,,,,,
153,2021,2,Jujuy,24738,60800,19611,2731,3968,111848,,,,,,,,,
154,2021,2,La Pampa,9017,57014,17132,13209,1295,97667,,,,,,,,,
155,2021,2,La Rioja,11627,54255,9445,6245,30,81602,,,,,,,,,
156,2021,2,Mendoza,91503,70834,44696,21811,827,229671,,,,,,,,,
157,2021,2,Misiones,44960,87861,10376,5317,7662,156176,,,,,,,,,
158,2021,2,Neuquén,30083,72690,15619,19218,640,138250,,,,,,,,,
159,2021,2,Río Negro,48189,43761,18727,15031,18376,144084,,,,,,,,,
160,2021,2,Salta,51396,96016,32050,5724,6453,191639,,,,,,,,,
161,2021,2,San Juan,40072,12369,6673,11372,8447,78933,,,,,,,,,
162,2021,2,San Luis,8417,11308,28,66860,36205,122818,,,,,,,,,
163,2021,2,Santa Cruz,12347,22967,6328,4269,3071,48982,,,,,,,,,
164,2021,2,Santa Fe,256741,431915,90424,43997,17523,840600,,,,,,,,,
165,2021,2,Santiago Del Estero,20734,83770,909,5081,3596,114090,,,,,,,,,
166,2021,2,Tierra Del Fuego,12853,22504,6,14,316,35693,,,,,,,,,
167,2021,2,Tucumán,110429,48359,71683,1837,743,233051,,,,,,,,,
168,2021,1,Buenos Aires,629679,2452056,821597,98806,57864,4060002,,,,,,,,,
169,2021,1,Capital Federal,159805,1145093,39980,5559,29236,1379673,,,,,,,,,
170,2021,1,Catamarca,26316,4409,18688,322,2233,51968,,,,,,,,,
171,2021,1,Chaco,43214,61251,25426,8004,1875,139770,,,,,,,,,
172,2021,1,Chubut,45501,40960,3444,23723,18712,132340,,,,,,,,,
173,2021,1,Córdoba,260350,444695,134634,54137,17065,910881,,,,,,,,,
174,2021,1,Corrientes,49160,62876,3337,5949,5303,126625,,,,,,,,,
175,2021,1,Entre Ríos,83688,118424,16846,20836,12169,251963,,,,,,,,,
176,2021,1,Formosa,20663,11412,2562,15669,380,50686,,,,,,,,,
177,2021,1,Jujuy,32254,54324,17322,2677,3879,110456,,,,,,,,,
178,2021,1,La Pampa,8946,58711,15779,12369,1300,97105,,,,,,,,,
179,2021,1,La Rioja,17363,34984,1,250,30,52628,,,,,,,,,
180,2021,1,Mendoza,91844,69295,38619,18332,833,218923,,,,,,,,,
181,2021,1,Misiones,48292,82339,7064,4796,6896,149387,,,,,,,,,
182,2021,1,Neuquén,30223,70457,14171,17752,632,133235,,,,,,,,,
183,2021,1,Río Negro,48777,42192,17828,13994,18377,141168,,,,,,,,,
184,2021,1,Salta,54768,89187,31498,5669,6452,187574,,,,,,,,,
185,2021,1,San Juan,40072,11589,6671,11482,8453,78267,,,,,,,,,
186,2021,1,San Luis,8417,10678,28,63826,36205,119154,,,,,,,,,
187,2021,1,Santa Cruz,12347,23089,5975,4264,390,46065,,,,,,,,,
188,2021,1,Santa Fe,277012,421480,70976,39140,17519,826127,,,,,,,,,
189,2021,1,Santiago Del Estero,26468,75849,570,5158,3596,111641,,,,,,,,,
190,2021,1,Tierra Del Fuego,12853,27247,6,0,316,40422,,,,,,,,,
191,2021,1,Tucumán,147199,12185,69954,1834,740,231912,,,,,,,,,
192,2020,4,Buenos Aires,635651,2441248,804991,93444,57927,4033261,,,,,,,,,
193,2020,4,Capital Federal,163060,1142528,39890,4815,29237,1379530,,,,,,,,,
194,2020,4,Catamarca,26870,5115,17856,322,2233,52396,,,,,,,,,
195,2020,4,Chaco,44332,61200,23687,7997,1875,139091,,,,,,,,,
196,2020,4,Chubut,45703,39756,3040,23363,18712,130574,,,,,,,,,
197,2020,4,Córdoba,267396,439322,125620,52827,17536,902701,,,,,,,,,
198,2020,4,Corrientes,50102,61495,3146,5626,5290,125659,,,,,,,,,
199,2020,4,Entre Ríos,85683,113670,15653,20206,12169,247381,,,,,,,,,
200,2020,4,Formosa,21264,10789,2432,15341,380,50206,,,,,,,,,
201,2020,4,Jujuy,32850,52815,15639,1077,3470,105851,,,,,,,,,
202,2020,4,La Pampa,9009,58945,15432,12194,1315,96895,,,,,,,,,
203,2020,4,La Rioja,17513,34984,1,250,30,52778,,,,,,,,,
204,2020,4,Mendoza,91842,68364,36083,18331,833,215453,,,,,,,,,
205,2020,4,Misiones,49462,79855,6589,4359,6896,147161,,,,,,,,,
206,2020,4,Neuquén,30468,70614,13732,17689,632,133135,,,,,,,,,
207,2020,4,Río Negro,48991,42022,17826,13994,18377,141210,,,,,,,,,
208,2020,4,Salta,56659,87817,30604,5858,6452,187390,,,,,,,,,
209,2020,4,San Juan,40072,7004,6599,10468,8453,72596,,,,,,,,,
210,2020,4,San Luis,8417,11767,27,63019,36205,119435,,,,,,,,,
211,2020,4,Santa Cruz,12347,19657,1041,4659,2970,40674,,,,,,,,,
212,2020,4,Santa Fe,287271,414746,62692,38712,17392,820813,,,,,,,,,
213,2020,4,Santiago Del Estero,26812,70522,570,5169,3596,106669,,,,,,,,,
214,2020,4,Tierra Del Fuego,12853,26439,6,0,316,39614,,,,,,,,,
215,2020,4,Tucumán,149322,11150,68043,1834,740,231089,,,,,,,,,
216,2020,3,Buenos Aires,653930,2384557,749087,94162,55541,3937277,,,,,,,,,
217,2020,3,Capital Federal,170375,1129573,39417,3936,29374,1372675,,,,,,,,,
218,2020,3,Catamarca,26868,3690,16857,261,2228,49904,,,,,,,,,
219,2020,3,Chaco,45745,58825,20675,6706,2003,133954,,,,,,,,,
220,2020,3,Chubut,45761,39386,2897,23216,18767,130027,,,,,,,,,
221,2020,3,Córdoba,276360,430771,102217,48368,9756,867472,,,,,,,,,
222,2020,3,Corrientes,50858,58681,2960,5513,5379,123391,,,,,,,,,
223,2020,3,Entre Ríos,87892,106950,13954,20379,12320,241495,,,,,,,,,
224,2020,3,Formosa,21790,10003,2000,15023,393,49209,,,,,,,,,
225,2020,3,Jujuy,32611,57682,11112,952,4371,106728,,,,,,,,,
226,2020,3,La Pampa,9015,56845,14677,11893,1305,93735,,,,,,,,,
227,2020,3,La Rioja,17346,34984,1,250,35,52616,,,,,,,,,
228,2020,3,Mendoza,91908,64672,32817,17523,868,207788,,,,,,,,,
229,2020,3,Misiones,50195,77989,2572,3445,8985,143186,,,,,,,,,
230,2020,3,Neuquén,30222,70446,11043,16787,737,129235,,,,,,,,,
231,2020,3,Río Negro,49530,40001,10381,13187,18368,131467,,,,,,,,,
232,2020,3,Salta,58216,84128,25445,5764,7293,180846,,,,,,,,,
233,2020,3,San Juan,40092,9223,5509,14023,8480,77327,,,,,,,,,
234,2020,3,San Luis,8401,10077,6,61828,36253,116565,,,,,,,,,
235,2020,3,Santa Cruz,12845,16098,1027,6938,2373,39281,,,,,,,,,
236,2020,3,Santa Fe,295051,405807,45721,37112,19307,802998,,,,,,,,,
237,2020,3,Santiago Del Estero,26419,70720,555,4185,3613,105492,,,,,,,,,
238,2020,3,Tierra Del Fuego,12854,26491,0,0,310,39655,,,,,,,,,
239,2020,3,Tucumán,149605,11752,59949,1808,762,223876,,,,,,,,,
240,2020,2,Buenos Aires,661272,2244277,723072,91736,57189,3777546,,,,,,,,,
241,2020,2,Capital Federal,178896,1106133,39482,3937,29373,1357821,,,,,,,,,
242,2020,2,Catamarca,26968,3641,14878,261,2228,47976,,,,,,,,,
243,2020,2,Chaco,46816,56017,17266,6452,1581,128132,,,,,,,,,
244,2020,2,Chubut,45761,38279,1324,17678,5614,108656,,,,,,,,,
245,2020,2,Córdoba,282858,415007,85818,44522,8263,836468,,,,,,,,,
246,2020,2,Corrientes,51248,55536,3144,3927,5011,118866,,,,,,,,,
247,2020,2,Entre Ríos,89391,99423,13954,20042,11303,234113,,,,,,,,,
248,2020,2,Formosa,21805,9353,1882,14723,169,47932,,,,,,,,,
249,2020,2,Jujuy,32705,38938,5057,952,16664,94316,,,,,,,,,
250,2020,2,La Pampa,8551,54422,14232,11314,1290,89809,,,,,,,,,
251,2020,2,La Rioja,16885,34984,1,250,35,52155,,,,,,,,,
252,2020,2,Mendoza,91904,62941,29613,15924,802,201184,,,,,,,,,
253,2020,2,Misiones,50792,74497,2579,3319,9153,140340,,,,,,,,,
254,2020,2,Neuquén,30256,67990,11037,15755,1134,126172,,,,,,,,,
255,2020,2,Río Negro,49756,39650,10382,11331,18367,129486,,,,,,,,,
256,2020,2,Salta,59502,81740,24289,5123,7108,177762,,,,,,,,,
257,2020,2,San Juan,40092,8275,5509,7019,8882,69777,,,,,,,,,
258,2020,2,San Luis,8401,8357,6,60935,36253,113952,,,,,,,,,
259,2020,2,Santa Cruz,12845,16044,1027,6585,2368,38869,,,,,,,,,
260,2020,2,Santa Fe,299974,381679,46698,30487,19094,777932,,,,,,,,,
261,2020,2,Santiago Del Estero,25917,72074,355,3038,4063,105447,,,,,,,,,
262,2020,2,Tierra Del Fuego,12854,26025,0,0,310,39189,,,,,,,,,
263,2020,2,Tucumán,150084,9833,55120,1357,762,217156,,,,,,,,,
264,2020,1,Buenos Aires,673237,2210349,720688,85443,18334,3708051,,,,,,,,,
265,2020,1,Capital Federal,184494,1097635,38898,3911,28556,1353494,,,,,,,,,
266,2020,1,Catamarca,21945,3146,12056,261,2227,39635,,,,,,,,,
267,2020,1,Chaco,46356,54144,11958,6239,1580,120277,,,,,,,,,
268,2020,1,Chubut,45763,27287,1324,16885,5479,96738,,,,,,,,,
269,2020,1,Córdoba,286168,406109,68512,41617,8693,811099,,,,,,,,,
270,2020,1,Corrientes,51126,53231,2172,2437,5004,113970,,,,,,,,,
271,2020,1,Entre Ríos,90368,95434,13245,18737,14062,231846,,,,,,,,,
272,2020,1,Formosa,21068,8887,1800,14510,169,46434,,,,,,,,,
273,2020,1,Jujuy,32066,38938,3078,942,16641,91665,,,,,,,,,
274,2020,1,La Pampa,8553,53755,13821,11295,1802,89226,,,,,,,,,
275,2020,1,La Rioja,13076,34984,0,251,29,48340,,,,,,,,,
276,2020,1,Mendoza,91955,50251,28059,12465,722,183452,,,,,,,,,
277,2020,1,Misiones,51458,69452,1220,460,10962,133552,,,,,,,,,
278,2020,1,Neuquén,29305,65951,11031,14711,729,121727,,,,,,,,,
279,2020,1,Río Negro,47756,38479,10381,11222,18362,126200,,,,,,,,,
280,2020,1,Salta,60426,75593,23025,4125,7212,170381,,,,,,,,,
281,2020,1,San Juan,40092,6448,5508,7082,5101,64231,,,,,,,,,
282,2020,1,San Luis,8301,7612,5,58301,36333,110552,,,,,,,,,
283,2020,1,Santa Cruz,12845,15766,1026,6817,2368,38822,,,,,,,,,
284,2020,1,Santa Fe,302366,383673,35123,30488,19468,771118,,,,,,,,,
285,2020,1,Santiago Del Estero,24695,70424,200,2779,4657,102755,,,,,,,,,
286,2020,1,Tierra Del Fuego,12854,25632,0,0,308,38794,,,,,,,,,
287,2020,1,Tucumán,143184,10494,44687,1355,347,200067,,,,,,,,,
288,2019,4,Buenos Aires,720011,2191672,669194,87111,18266,3686254,,,,,,,,,
289,2019,4,Capital Federal,196938,1093143,35534,3914,28576,1358105,,,,,,,,,
290,2019,4,Catamarca,22999,3318,9506,261,2227,38311,,,,,,,,,
291,2019,4,Chaco,48661,53602,8831,5229,1580,117903,,,,,,,,,
292,2019,4,Chubut,47045,26977,1324,15267,5489,96102,,,,,,,,,
293,2019,4,Córdoba,296872,410038,53335,37750,8693,806688,,,,,,,,,
294,2019,4,Corrientes,52525,51845,2002,2458,5004,113834,,,,,,,,,
295,2019,4,Entre Ríos,92981,99206,12875,18561,15407,239030,,,,,,,,,
296,2019,4,Formosa,21567,8684,1760,14531,169,46711,,,,,,,,,
297,2019,4,Jujuy,32949,37604,873,814,16641,88881,,,,,,,,,
298,2019,4,La Pampa,15457,56854,4942,11341,1805,90399,,,,,,,,,
299,2019,4,La Rioja,13738,34984,0,251,29,49002,,,,,,,,,
300,2019,4,Mendoza,96678,49711,24989,13672,730,185780,,,,,,,,,
301,2019,4,Misiones,53116,69676,847,441,11733,135813,,,,,,,,,
302,2019,4,Neuquén,29826,60970,10549,14246,854,116445,,,,,,,,,
303,2019,4,Río Negro,49747,37933,9658,11437,18365,127140,,,,,,,,,
304,2019,4,Salta,63272,76062,21865,3040,8206,172445,,,,,,,,,
305,2019,4,San Juan,41360,6338,4931,7241,5104,64974,,,,,,,,,
306,2019,4,San Luis,8569,8027,6,55266,36333,108201,,,,,,,,,
307,2019,4,Santa Cruz,13264,15899,1036,6800,2371,39370,,,,,,,,,
308,2019,4,Santa Fe,312072,382254,27464,26978,20401,769169,,,,,,,,,
309,2019,4,Santiago Del Estero,24682,71239,200,2810,4657,103588,,,,,,,,,
310,2019,4,Tierra Del Fuego,13261,26821,0,0,310,40392,,,,,,,,,
311,2019,4,Tucumán,146985,11012,39574,725,348,198644,,,,,,,,,
312,2019,3,Buenos Aires,1277249,2144956,425386,85572,27070,3960233,,,,,,,,,
313,2019,3,Capital Federal,300288,1080973,24900,3895,31155,1441211,,,,,,,,,
314,2019,3,Catamarca,24349,5543,13,244,2251,32400,,,,,,,,,
315,2019,3,Chaco,50416,49156,8063,5224,1592,114451,,,,,,,,,
316,2019,3,Chubut,37298,27090,1917,15149,7551,89005,,,,,,,,,
